08.06.23 / 15:33:20;;;;********** New Test Started **********;Version of LINTest: 11.0.22.0
08.06.23 / 15:33:20;#3;INFO;999;SetRelayConnectionControl;4300;
08.06.23 / 15:33:20;#3;TESTER;0;Tester;LASPRD-C22873TT, LA36 Pre-Tester ManualTwo-Cell, 2023-0xx, LINTest 11.0.22.0;
08.06.23 / 15:33:20;#3;INFO;0;Bay;3;
08.06.23 / 15:33:20;#3;PROTOCOL;0;Communication Protocol;CANBUS_PROTOCOL;
08.06.23 / 15:33:20;#3;INFO;0;WO Number;30905161
08.06.23 / 15:33:20;#3;INFO;0;Serial Number;0002;
08.06.23 / 15:33:20;#3;INFO;0;Product;;
08.06.23 / 15:33:20;#3;STEP;10;Nominal Power.;;
08.06.23 / 15:33:24;#3;STEP;20;Connect Violet pin for communication.;;
08.06.23 / 15:33:24;#3;STEP;30;Start Bus communication 100ms continual.;;
08.06.23 / 15:33:24;#3;INFO;30;Looks like Actuator is Connected;;
08.06.23 / 15:33:24;#3;STEP;40;SetForcePositionLost for Run Max. Speed;;
08.06.23 / 15:33:24;#3;STEP;40;SetForcePositionLost;DONE;
08.06.23 / 15:33:25;#3;STEP;40;Find BusLink *.ini Files.;;
08.06.23 / 15:33:25;#3;STEP;40;Actuator ID;LA36CA4;
08.06.23 / 15:33:25;#3;STEP;50;Timeout after 3 sec., indicate 'Ingen LIN kommunikation.;;
08.06.23 / 15:33:25;#3;STEP;60;Open the right *.ini file.;;
08.06.23 / 15:33:25;#3;INFO;60;LA36CA4.ini;file found;
08.06.23 / 15:33:25;#3;STEP;70;Read SW nummer from Actuator.;;
08.06.23 / 15:33:25;#3;STEP;80;Show Initializing EOS IN.;;
08.06.23 / 15:33:26;#3;STEP;90;Read WO Number from Actuator.;;
08.06.23 / 15:33:26;#3;INFO;90;WO from Actuator;30905161;
08.06.23 / 15:33:26;#3;INFO;90;UniqueID from Actuator;604179;
08.06.23 / 15:33:26;#3;STEP;100;Read SW Version from Actuator.;;
08.06.23 / 15:33:26;#3;INFO;100;SW Actuator;SW01050000V3-1;
08.06.23 / 15:33:26;#3;STEP;110;Compare WONumber, SWVersion, PCB.;;
08.06.23 / 15:33:26;#3;INFO;110;Query WO SQL Table Ax_Data;;
08.06.23 / 15:33:26;#3;INFO;110;From Ax_Software;SW01050000V3-1;
08.06.23 / 15:33:26;#3;INFO;110;From AxArtNo;370106-01;
08.06.23 / 15:33:26;#3;INFO;110;From AxArtName;371C50+CD20012X;
08.06.23 / 15:33:26;#3;INFO;110;From AxConf;FieldReject;
08.06.23 / 15:33:26;#3;INFO;110;From AxPCBA;FieldReject;
08.06.23 / 15:33:26;#3;STEP;120;Run out.;;
08.06.23 / 15:33:31;#3;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;;
08.06.23 / 15:33:31;#3;STEP;130;EOS IN;Is deactivated;
08.06.23 / 15:33:31;#3;STEP;140;Stop 200ms/Run In.;;
08.06.23 / 15:33:38;#3;STEP;150;EOS IN;Is activated;
08.06.23 / 15:33:39;#3;STEP;150;Run to EOS IN.;;
08.06.23 / 15:33:41;#3;STEP;160;Read EOS IN Status. Not for ZeroPoint.;;
08.06.23 / 15:33:42;#3;STEP;180;Wait for PLC-command 'EOS IN Signal and Voltage OK'. 11. Not for ZeroPoint.;;
08.06.23 / 15:33:43;#3;STEP;200;Run servo to reference position and start stroke measurement.;;
08.06.23 / 15:33:43;#3;STEP;210;Show: Initializing EOS IN OK.  Not for ZeroPoint.;;
08.06.23 / 15:33:44;#3;STEP;220;Show: Initializing EOS Out.;;
08.06.23 / 15:33:44;#3;STEP;230;Run to EOS OUT.;;
08.06.23 / 15:35:45;#3;STEP;240;Read EOS OUT Status. if not 1 'EOS ud ikke aktiv'. Not for ZeroPoint.;;
08.06.23 / 15:35:45;#3;STEP;240;EOS OUT;Is NOT activated;
08.06.23 / 15:35:45;#3;ERROR;70;Error at initialization outwards;;
08.06.23 / 15:36:51;;;;********** New Test Started **********;Version of LINTest: 11.0.22.0
08.06.23 / 15:36:51;#3;INFO;999;SetRelayConnectionControl;4300;
08.06.23 / 15:36:51;#3;TESTER;0;Tester;LASPRD-C22873TT, LA36 Pre-Tester ManualTwo-Cell, 2023-0xx, LINTest 11.0.22.0;
08.06.23 / 15:36:51;#3;INFO;0;Bay;3;
