13.09.23 / 15:06:01;;;;********** New Test Started **********;Version of LINTest: 11.1.4.0
13.09.23 / 15:06:01;#1;TESTER;0;Tester;LASPRD-PC0WWK2C, LA36 Pre-Tester Multi-Cell, 202112-154B, LINTest 11.1.4.0;
13.09.23 / 15:06:01;#1;INFO;0;Bay;1;
13.09.23 / 15:06:01;#1;PROTOCOL;0;Communication Protocol;CANBUS_ZEROPOINT_PROTOCOL;
13.09.23 / 15:06:01;#1;INFO;0;WO Number;31498460
13.09.23 / 15:06:01;#1;INFO;0;Serial Number;0002;
13.09.23 / 15:06:01;#1;INFO;0;Product;LA36 CANBus;
13.09.23 / 15:06:01;#1;STEP;10;Nominal Power.;;
13.09.23 / 15:06:05;#1;STEP;20;Connect Violet pin for communication.;;
13.09.23 / 15:06:05;#1;STEP;30;Start Bus communication 100ms continual.;;
13.09.23 / 15:06:05;#1;STEP;30;Looks like Actuator;Connected;
13.09.23 / 15:06:05;#1;STEP;40;SetForcePositionLost for Run Max. Speed;;
13.09.23 / 15:06:05;#1;INFO;40;SetForcePositionLost;DONE;
13.09.23 / 15:06:07;#1;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 15:06:07;#1;STEP;40;Actuator ID;LA36CA9;
13.09.23 / 15:06:07;#1;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 15:06:07;#1;STEP;50;No Buslink communication.;;
13.09.23 / 15:06:09;#1;STEP;60;Open the right *.ini file.;;
13.09.23 / 15:06:09;#1;INFO;60;LA36CA9.ini;file found;
13.09.23 / 15:06:09;#1;STEP;70;Read SW nummer from Actuator.;;
13.09.23 / 15:06:09;#1;STEP;80;Show: “Initializing EOS IN.;;
13.09.23 / 15:06:09;#1;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 15:06:09;#1;INFO;90;WO from Actuator  ;31498460;
13.09.23 / 15:06:09;#1;INFO;90;UniqueID from Actuator;1041229;
13.09.23 / 15:06:09;#1;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 15:06:09;#1;INFO;100;SW Actuator;SW01050023V0-119005;
13.09.23 / 15:06:09;#1;STEP;110;Compare WO Number, SW Version.;;
13.09.23 / 15:06:09;#1;INFO;110;Query WO SQL Table Ax_Data;;
13.09.23 / 15:06:09;#1;INFO;110;From Ax_Software;SW01050023V0-119005;
13.09.23 / 15:06:09;#1;INFO;110;From AxArtNo;362776-02;
13.09.23 / 15:06:09;#1;INFO;110;From AxArtName;36120506001616-612H30762NXX0X0;
13.09.23 / 15:06:09;#1;INFO;110;From AxConf;10SW36CFGA00325;
13.09.23 / 15:06:09;#1;INFO;110;From AxPCBA;10CS36BUSB1G-B-2;
13.09.23 / 15:06:10;#1;STEP;120;Run out.;;
13.09.23 / 15:06:14;#1;STEP;120;Ran Outwards For 2 s;DONE;
13.09.23 / 15:06:14;#1;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;;
13.09.23 / 15:06:14;#1;INFO;999;ServoPosition w/o ZeroPoint;780.30 mm;
13.09.23 / 15:06:14;#1;INFO;999;Running to Zero Point;;
13.09.23 / 15:06:19;#1;INFO;999;Reached Zero Point;DONE;
13.09.23 / 15:06:19;#1;STEP;140;Stop 200ms.;;
13.09.23 / 15:06:36;#1;STEP;150;Run to EOS IN.;;
13.09.23 / 15:06:36;#1;INFO;999;Min Servo Position;756.39 mm;
13.09.23 / 15:06:36;#1;INFO;999;CalibratedEOSInPosition BID mechanically;PASSED;
13.09.23 / 15:06:36;#1;INFO;999;Writing dwZPointCalibrationOffset;292;
13.09.23 / 15:06:36;#1;STEP;150;SetZPointCalibrationOffset;DONE;
13.09.23 / 15:06:36;#1;PLC_CMD;3;PLC Reset / Stop Test;PLC Test Failed;
